Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-4.240827,51.686511,On or near Pine Tree Close,W01000634,Carmarthenshire 021C,Anti-social behaviour,,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-4.161495,51.687000,On or near Mount Pleasant Buildings,W01000703,Carmarthenshire 022A,Anti-social behaviour,,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-4.157649,51.682187,On or near Stepney Place,W01000703,Carmarthenshire 022A,Anti-social behaviour,,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-4.153665,51.689689,On or near Waun Road,W01000704,Carmarthenshire 022B,Anti-social behaviour,,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-4.150381,51.695477,On or near A476,W01000704,Carmarthenshire 022B,Anti-social behaviour,,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-4.144752,51.685688,On or near Brynamlwg,W01000705,Carmarthenshire 022C,Anti-social behaviour,,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-4.162904,51.685904,On or near Cysgod Y Llan,W01000653,Carmarthenshire 023A,Anti-social behaviour,,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-4.164727,51.686212,On or near Harries Avenue,W01000653,Carmarthenshire 023A,Anti-social behaviour,,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-4.162709,51.680593,On or near John Street,W01000654,Carmarthenshire 023B,Anti-social behaviour,,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-4.165141,51.681231,On or near Waunlanyrafon,W01000654,Carmarthenshire 023B,Anti-social behaviour,,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-4.168918,51.691260,On or near Hillside,W01000667,Carmarthenshire 023C,Anti-social behaviour,,
5121c7d3174e2eb7611b3b16adf63f243b7cb953ec931156888728b5322c2285,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-4.182570,51.685090,On or near Sandy Road,W01001925,Carmarthenshire 023F,Violence and sexual offences,Action to be taken by another organisation,
cae8fd9582b1603e713ecbf28bcfbb6180de2b0301c986c494f9bac354172a0f,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-4.204788,51.688299,On or near School Road,W01001925,Carmarthenshire 023F,Violence and sexual offences,Action to be taken by another organisation,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-4.139057,51.677213,On or near Shopping Area,W01000628,Carmarthenshire 024A,Anti-social behaviour,,
452fb7f5dac2b5749e6594ec2824f4d4338240b0c265d700580074bb96e2df28,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-4.143068,51.673021,On or near B4304,W01000628,Carmarthenshire 024A,Public order,Status update unavailable,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-4.150125,51.677568,On or near Queen Mary'S Walk,W01000630,Carmarthenshire 024C,Anti-social behaviour,,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-4.148280,51.675273,On or near Heol Ffynnon,W01000631,Carmarthenshire 024D,Anti-social behaviour,,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-4.154314,51.675001,On or near Tyisha Road,W01000631,Carmarthenshire 024D,Anti-social behaviour,,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-4.095440,51.670185,On or near Heol-Y-Bwlch,W01000635,Carmarthenshire 025A,Anti-social behaviour,,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-4.114813,51.675944,On or near Hendre Isaf,W01000635,Carmarthenshire 025A,Anti-social behaviour,,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-4.107137,51.679157,On or near Parc Richard,W01000636,Carmarthenshire 025B,Anti-social behaviour,,
06dbc56e1cff5edf3515053e72ef01271a3c454f640fcfc84c69885055c50edf,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-4.112002,51.680491,On or near Pant Bryn Isaf,W01000636,Carmarthenshire 025B,Other theft,Status update unavailable,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-4.125308,51.679513,On or near Ynys-Las,W01000706,Carmarthenshire 025C,Anti-social behaviour,,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-4.131500,51.682917,On or near Llandafen Road,W01000706,Carmarthenshire 025C,Anti-social behaviour,,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-4.131500,51.682917,On or near Llandafen Road,W01000706,Carmarthenshire 025C,Anti-social behaviour,,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-4.116942,51.672587,On or near Erwlas,W01000708,Carmarthenshire 025E,Anti-social behaviour,,
7da353c13bece31da07669d623f42a24894caaa1d5257bdcffca963341fc02e8,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-4.157820,51.669037,On or near New Dock Street,W01000659,Carmarthenshire 026A,Other theft,Status update unavailable,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-4.161563,51.674148,On or near Great Western Crescent,W01000733,Carmarthenshire 026E,Anti-social behaviour,,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-4.157003,51.678935,On or near Bigyn Lane,W01000733,Carmarthenshire 026E,Anti-social behaviour,,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-4.155279,51.676152,On or near Margam Place,W01000734,Carmarthenshire 026F,Anti-social behaviour,,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-4.158650,51.674642,On or near Emma Street,W01000734,Carmarthenshire 026F,Anti-social behaviour,,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-4.158650,51.674642,On or near Emma Street,W01000734,Carmarthenshire 026F,Anti-social behaviour,,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-4.152378,51.669272,On or near Clos Dewi Medi,W01001924,Carmarthenshire 026H,Anti-social behaviour,,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-4.152378,51.669272,On or near Clos Dewi Medi,W01001924,Carmarthenshire 026H,Anti-social behaviour,,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-4.152378,51.669272,On or near Clos Dewi Medi,W01001924,Carmarthenshire 026H,Anti-social behaviour,,
d6f80b601c2af0e021fde9b03e8a77e10d7df3623896342a2e2edf5ed0066172,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-4.152378,51.669272,On or near Clos Dewi Medi,W01001924,Carmarthenshire 026H,Criminal damage and arson,Investigation complete; no suspect identified,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-3.948792,52.533047,On or near Parking Area,W01000523,Ceredigion 001C,Anti-social behaviour,,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-4.080015,52.415695,On or near Thespian Street,W01000512,Ceredigion 002A,Anti-social behaviour,,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-4.084623,52.416108,On or near Stryd Y Corfforeath,W01000513,Ceredigion 002B,Anti-social behaviour,,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-4.086399,52.414791,On or near Pier Street,W01000513,Ceredigion 002B,Anti-social behaviour,,
c5121a59f92fb2b1172e87b7c2a5f8ad2fae557fb00c847228c40e5a94239c85,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-4.085581,52.414284,On or near Y Stryd Fawr,W01000513,Ceredigion 002B,Violence and sexual offences,Status update unavailable,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-4.085194,52.412007,On or near A487,W01000517,Ceredigion 002D,Anti-social behaviour,,
02ec7ebbe13b20ade302bd31248d5bad428665350fbed9c083d5100298679605,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-4.061602,52.400831,On or near Gwel Afon,W01000516,Ceredigion 003B,Violence and sexual offences,Unable to prosecute suspect,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-4.082849,52.412922,On or near Shopping Area,W01000518,Ceredigion 003C,Anti-social behaviour,,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-4.159395,52.260583,On or near Petrol Station,W01000539,Ceredigion 005D,Anti-social behaviour,,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-4.077454,52.114138,On or near College Street,W01000527,Ceredigion 008A,Anti-social behaviour,,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-4.077454,52.114138,On or near College Street,W01000527,Ceredigion 008A,Anti-social behaviour,,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-4.077454,52.114138,On or near College Street,W01000527,Ceredigion 008A,Anti-social behaviour,,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-4.163540,52.142191,On or near Fron Ganol,W01000535,Ceredigion 008C,Anti-social behaviour,,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-4.542076,52.130543,On or near Brynglas,W01000508,Ceredigion 009B,Anti-social behaviour,,
4e9fd6de8bb5c5d270b9da6c518b31745c39bdcaefba535bbb768f6acc170198,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-4.657536,52.083067,On or near Finch'S Square,W01000511,Ceredigion 009E,Public order,Unable to prosecute suspect,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-4.528857,52.046773,On or near Maesydderwen,W01000519,Ceredigion 010A,Anti-social behaviour,,
96fb3ce472ba11e6041420ea9c204a8785238511c275fc7c40e7fba420944e3e,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-4.560579,52.064109,On or near Parcgweydd Hill,W01000519,Ceredigion 010A,Violence and sexual offences,Unable to prosecute suspect,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-4.827330,51.936569,On or near B4313,W01000562,Pembrokeshire 002A,Anti-social behaviour,,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-4.982538,51.991402,On or near Maesgwyn Road,W01000566,Pembrokeshire 002C,Anti-social behaviour,,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-4.994880,52.003877,On or near Fishguard And Goodwick,W01000567,Pembrokeshire 002D,Anti-social behaviour,,
8ad504e2c8217df32c09f3bf9c23930c6242016fe773e9d8b634da7cd8c9ee4e,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-5.146809,51.949430,On or near Heol Crwys,W01000581,Pembrokeshire 003B,Violence and sexual offences,Status update unavailable,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-4.968042,51.806722,On or near Shopping Area,W01000572,Pembrokeshire 005D,Anti-social behaviour,,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-4.971708,51.801548,On or near Dark Street,W01002010,Pembrokeshire 005F,Anti-social behaviour,,
e3f391143b6606c9f2d4918922b96accb52a99a1ce5a7607229578bca09f39a7,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-4.985536,51.799390,On or near Foley Way,W01000571,Pembrokeshire 006A,Burglary,Unable to prosecute suspect,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-4.976445,51.797040,On or near Milford Road,W01000573,Pembrokeshire 006B,Anti-social behaviour,,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-4.976445,51.797040,On or near Milford Road,W01000573,Pembrokeshire 006B,Anti-social behaviour,,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-4.966550,51.796786,On or near Spenser Way,W01000573,Pembrokeshire 006B,Anti-social behaviour,,
a337f80407db2318c31340af0abe07f9ba815e05769205edffade1550943f12c,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-4.846867,51.799954,On or near Parking Area,W01000585,Pembrokeshire 007B,Violence and sexual offences,Court result unavailable,
ff9f1bef4e3f34a2ff9f8d9d5831ecb45dfe27e0d54b24a1dd3e52448ccde065,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-4.915002,51.750284,On or near The Gail,W01000580,Pembrokeshire 009B,Violence and sexual offences,Action to be taken by another organisation,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-4.954783,51.709770,On or near Gothic Road,W01000599,Pembrokeshire 009D,Anti-social behaviour,,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-4.955123,51.710976,On or near Leonardston View,W01000599,Pembrokeshire 009D,Anti-social behaviour,,
86c87c0b6a1b9b01e4d5123c9c9e60bc68ddc9482b5be164a1d7e301359f73e4,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-5.034168,51.713753,On or near Parking Area,W01000587,Pembrokeshire 010A,Drugs,Status update unavailable,
804d8f0ef96845a6f179ac0e3f51280d2305b29c4abfe36fbe0b77cd909557b1,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-5.022966,51.717064,On or near Birch Mead,W01000588,Pembrokeshire 010B,Violence and sexual offences,Unable to prosecute suspect,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-5.026818,51.714258,On or near Eastleigh Drive,W01000588,Pembrokeshire 010B,Anti-social behaviour,,
7571c407586ae8af69210c71c44e25f94c52a91e5bfed3caaf0316dcc3e35a94,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-4.659116,51.756968,On or near Amroth Road,W01000553,Pembrokeshire 011A,Violence and sexual offences,Unable to prosecute suspect,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-4.726532,51.730771,On or near New Road,W01000576,Pembrokeshire 011D,Anti-social behaviour,,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-4.718820,51.734277,On or near Newton Fields,W01000576,Pembrokeshire 011D,Anti-social behaviour,,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-5.045859,51.713199,On or near The Rope Walk,W01000589,Pembrokeshire 012A,Anti-social behaviour,,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-5.058462,51.714580,On or near Croft Avenue,W01000592,Pembrokeshire 012D,Anti-social behaviour,,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-5.034011,51.718110,On or near Meads Court,W01000594,Pembrokeshire 012E,Anti-social behaviour,,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-5.029416,51.718688,On or near Marble Hall Road,W01000594,Pembrokeshire 012E,Anti-social behaviour,,
9c83e41fa492dff53332cbb6f1838879d1ce3ef331d9aa0aa8a01cefbc172f10,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-5.033178,51.717772,On or near Gough'S Court,W01000594,Pembrokeshire 012E,Other theft,Unable to prosecute suspect,
6e8bca615d745c55bd96c8a4648325218d92ee6c6f92216346036f4b495debbc,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-4.941226,51.693382,On or near Lewis Street,W01000600,Pembrokeshire 013A,Violence and sexual offences,Unable to prosecute suspect,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-4.942926,51.692377,On or near Meyrick Street,W01000600,Pembrokeshire 013A,Anti-social behaviour,,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-4.938091,51.693685,On or near Parking Area,W01000602,Pembrokeshire 013C,Anti-social behaviour,,
86291c0c2a763907da294d744ed6a71fb61ab78bd314e02858edac662c813bac,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-4.942109,51.691831,On or near B4322,W01000603,Pembrokeshire 013D,Violence and sexual offences,Investigation complete; no suspect identified,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-4.870289,51.668301,On or near Park View,W01000578,Pembrokeshire 014B,Anti-social behaviour,,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-4.870289,51.668301,On or near Park View,W01000578,Pembrokeshire 014B,Anti-social behaviour,,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-4.933742,51.675465,On or near Ramsden Court,W01000606,Pembrokeshire 015B,Anti-social behaviour,,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-4.706173,51.672901,On or near Clement Terrace,W01002014,Pembrokeshire 016E,Anti-social behaviour,,
623f8a6ad1ee6358ca56db0a754f413ce6e3b877eae6d832d2d4d3485de19be8,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-3.159579,52.775260,On or near Maes Y Foel,W01000470,Powys 001D,Violence and sexual offences,Status update unavailable,
88f2f816c294273afaa6d6d2e0c9d83075edc4ce345209b987be56b9a6af4bee,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-3.156996,52.695715,On or near Fairview Avenue,W01000444,Powys 002A,Other theft,Status update unavailable,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-3.147993,52.653728,On or near Castle Walk,W01000498,Powys 003A,Anti-social behaviour,,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-3.148341,52.660800,On or near Hall Street,W01000501,Powys 003D,Anti-social behaviour,,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-3.738657,52.624286,On or near Parking Area,W01000442,Powys 004A,Anti-social behaviour,,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-3.726011,52.621659,On or near Parking Area,W01000442,Powys 004A,Anti-social behaviour,,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-3.063811,52.537705,On or near Supermarket,W01000434,Powys 007A,Anti-social behaviour,,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-3.185578,52.550105,On or near Hawthorn Drive,W01000439,Powys 007B,Anti-social behaviour,,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-3.315773,52.515932,On or near Broad Street,W01000480,Powys 008A,Anti-social behaviour,,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-3.317471,52.515050,On or near Newtown Bus Station,W01000480,Powys 008A,Anti-social behaviour,,
23a815ebd6983aa803d5db45471ae3299c7ac27021e68181729ed5f61b53fc47,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-3.561735,52.416451,On or near Parking Area,W01000429,Powys 010A,Violence and sexual offences,Court result unavailable,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-3.539023,52.448280,On or near Great Oak Street,W01000467,Powys 010D,Anti-social behaviour,,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-3.057351,52.344082,On or near Garth Meadows,W01000448,Powys 011B,Anti-social behaviour,,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-3.057351,52.344082,On or near Garth Meadows,W01000448,Powys 011B,Anti-social behaviour,,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-3.049204,52.344074,On or near Broad Street,W01000449,Powys 011C,Anti-social behaviour,,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-3.048392,52.344531,On or near Wylcwm Street,W01000449,Powys 011C,Anti-social behaviour,,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-3.002878,52.270880,On or near Beddoes View,W01000486,Powys 011G,Anti-social behaviour,,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-3.295962,52.266506,On or near Old Market Meadows,W01000451,Powys 012B,Anti-social behaviour,,
7dfbdfe0f74ea9d554b2a6350cc71084ca4e3aaef58418ebb4531cea07437c99,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-3.382845,52.239572,On or near Norton Terrace,W01000454,Powys 013A,Drugs,Further action is not in the public interest,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-3.380296,52.242389,On or near Llanerch Lane,W01000454,Powys 013A,Anti-social behaviour,,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-3.381412,52.240129,On or near Park Crescent,W01000454,Powys 013A,Anti-social behaviour,,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-3.381412,52.240129,On or near Park Crescent,W01000454,Powys 013A,Anti-social behaviour,,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-3.379158,52.240632,On or near Middleton Street,W01000454,Powys 013A,Anti-social behaviour,,
16417642335cbb8712556a6291a8443fd9a15cf1ad55bc59d5a41fc31d845877,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-3.378620,52.240287,On or near South Crescent,W01000454,Powys 013A,Burglary,Investigation complete; no suspect identified,
35e7cd6c9d1f46b2866949abd201ca6d3a184322906a2eb4af468570a707d8c0,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-3.383457,52.242793,On or near Dyffryn Court,W01000454,Powys 013A,Violence and sexual offences,Action to be taken by another organisation,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-3.381171,52.247459,On or near Ithon Close,W01000455,Powys 013B,Anti-social behaviour,,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-3.399002,52.150236,On or near Castle Street,W01000431,Powys 014A,Anti-social behaviour,,
1cf96fbc5c88848a76eb1bc7a692cfd2ba3e73b38845a054a753c893c715ef80,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-3.249847,52.006138,On or near Fosse Way,W01000430,Powys 015A,Other crime,Court result unavailable,
ed4b979d61f753b8669be886b1c449d34dd403af42b0e2721db004eff0f3192f,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-3.249847,52.006138,On or near Fosse Way,W01000430,Powys 015A,Other crime,Court result unavailable,
a24920a87e24240411aabd71b89e9106f3222fd9f16535be077db7f637ea80ee,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-3.252486,52.007783,On or near Esgair-Y-Gog,W01000430,Powys 015A,Other crime,Court result unavailable,
db20dc5e10e7e861ca063df93dc727f99826027738528bb16319598b1a889998,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-3.249847,52.006138,On or near Fosse Way,W01000430,Powys 015A,Other crime,Court result unavailable,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-3.389002,51.947034,On or near Llys Yr Arad,W01000492,Powys 017D,Anti-social behaviour,,
,2024-03,Dyfed-Powys Police,Dyfed-Powys Police,-3.389002,51.947034,On or near Llys Yr Arad,W01000492,Powys 017D,Anti-social behaviour,,
